[ikvasilev@sms results]$ cat all_experiments_h1.csv
Experiment,Recipient_Size,Donor_R,Donor_Size,rmse_01,np_01,mape_01,rmse_03,np_03,mape_03
EXP3_HYBRID,10000,27.9000,22173,0.009598,0.101000,0.018184,0.011158,0.032000,0.021278
EXP3_HYBRID,10000,27.9000,26086,0.009638,0.086000,0.017291,0.013975,0.020000,0.020750
EXP3_HYBRID,10000,27.9000,23478,0.009847,0.099000,0.018368,0.013185,0.024000,0.021333
EXP3_HYBRID,10000,27.9000,24782,0.008957,0.099000,0.017387,0.012645,0.037000,0.020593
EXP3_HYBRID,10000,27.9900,10434,0.008962,0.145000,0.017738,0.012400,0.064000,0.021394
EXP3_HYBRID,10000,27.9900,9130,0.008248,0.166000,0.016442,0.010761,0.064000,0.021459
EXP3_HYBRID,10000,27.9900,11739,0.008516,0.131000,0.017161,0.011707,0.057000,0.020659
EXP3_HYBRID,10000,None,0,0.010499,0.239000,0.018281,0.014766,0.105000,0.025263
EXP3_HYBRID,10000,27.9000,27391,0.009027,0.094000,0.017671,0.012780,0.033000,0.020849
EXP3_HYBRID,10000,27.9900,14347,0.008159,0.122000,0.016256,0.010737,0.051000,0.018517
EXP3_HYBRID,10000,27.9900,15652,0.008418,0.134000,0.016933,0.010859,0.054000,0.020542
EXP3_HYBRID,10000,27.9900,13043,0.008329,0.147000,0.016842,0.011127,0.065000,0.019516
EXP3_HYBRID,10000,27.9900,16956,0.008603,0.127000,0.016620,0.011372,0.051000,0.019431
EXP3_HYBRID,10000,28.0001,1304,0.010586,0.237000,0.017460,0.013474,0.093000,0.022850
EXP3_HYBRID,10000,27.9000,26086,0.009638,0.086000,0.017291,0.013975,0.020000,0.020750
EXP3_HYBRID,10000,28.0001,2608,0.010525,0.204000,0.018052,0.012804,0.084000,0.021713
EXP3_HYBRID,10000,28.0001,3913,0.010046,0.193000,0.018693,0.013515,0.087000,0.022638
EXP3_HYBRID,10000,28.0001,5217,0.010291,0.206000,0.018365,0.013360,0.087000,0.023987
EXP3_HYBRID,10000,28.0001,6521,0.010608,0.192000,0.019186,0.017709,0.075000,0.025961
EXP3_HYBRID,10000,27.9000,28695,0.009371,0.081000,0.017909,0.012625,0.031000,0.019841
EXP3_HYBRID,10000,28.0001,7826,0.010658,0.190000,0.020339,0.020653,0.073000,0.026143
EXP3_HYBRID,10000,27.9900,18260,0.008182,0.120000,0.016600,0.010766,0.052000,0.018911
EXP3_HYBRID,10000,27.9900,20869,0.007945,0.111000,0.015315,0.008824,0.052000,0.016992
EXP3_HYBRID,10000,27.9000,30000,0.009719,0.081000,0.018670,0.013365,0.022000,0.021940
EXP3_HYBRID,10000,27.9900,19565,0.008800,0.110000,0.016699,0.010985,0.048000,0.018758
EXP3_HYBRID,10000,28.0001,9130,0.010929,0.174000,0.021561,0.019822,0.063000,0.027206
EXP3_HYBRID,10000,28.0001,10434,0.010923,0.170000,0.020685,0.014602,0.067000,0.023344
EXP3_HYBRID,10000,27.9900,24782,0.008636,0.101000,0.016233,0.010437,0.042000,0.018689
EXP3_HYBRID,10000,28.0001,13043,0.010627,0.161000,0.020636,0.015712,0.071000,0.023704
EXP3_HYBRID,10000,28.0001,11739,0.009730,0.163000,0.020477,0.013875,0.060000,0.024690
EXP3_HYBRID,10000,27.9900,22173,0.008497,0.116000,0.016266,0.009369,0.049000,0.017534
EXP3_HYBRID,10000,27.9900,26086,0.008408,0.105000,0.016069,0.010142,0.044000,0.018733
EXP3_HYBRID,10000,27.9900,23478,0.008744,0.103000,0.016765,0.009930,0.044000,0.018169
EXP3_HYBRID,10000,28.0001,14347,0.011038,0.150000,0.021249,0.014130,0.070000,0.025584
EXP3_HYBRID,10000,None,0,0.010499,0.239000,0.018281,0.014766,0.105000,0.025263
EXP3_HYBRID,10000,27.9900,27391,0.008556,0.102000,0.015998,0.009868,0.045000,0.018031
EXP3_HYBRID,10000,28.0100,1304,0.010570,0.232000,0.018826,0.016800,0.090000,0.024711
EXP3_HYBRID,10000,27.9900,28695,0.008826,0.099000,0.016534,0.011093,0.043000,0.018223
EXP3_HYBRID,10000,28.0100,2608,0.010590,0.221000,0.017738,0.013539,0.101000,0.022243
EXP3_HYBRID,10000,28.0001,15652,0.011257,0.150000,0.022191,0.013173,0.064000,0.024230
EXP3_HYBRID,10000,28.0001,16956,0.011276,0.142000,0.022380,0.016317,0.061000,0.027507
EXP3_HYBRID,10000,28.0100,5217,0.009932,0.189000,0.018502,0.016205,0.074000,0.022842
EXP3_HYBRID,10000,28.0100,3913,0.009816,0.208000,0.018818,0.018002,0.085000,0.023136
EXP3_HYBRID,10000,27.9900,30000,0.008828,0.091000,0.016374,0.011048,0.044000,0.018496
EXP3_HYBRID,10000,28.0001,18260,0.012146,0.141000,0.023184,0.015184,0.066000,0.026769
EXP3_HYBRID,10000,28.0001,19565,0.011969,0.135000,0.023698,0.015467,0.055000,0.026357
EXP3_HYBRID,10000,28.0100,6521,0.009202,0.207000,0.018303,0.013214,0.081000,0.023302
EXP3_HYBRID,10000,28.0100,7826,0.009944,0.200000,0.020586,0.017063,0.083000,0.025602
EXP3_HYBRID,10000,28.0001,20869,0.011481,0.129000,0.024829,0.015701,0.055000,0.028338
EXP3_HYBRID,10000,28.0100,9130,0.010870,0.197000,0.023414,0.014677,0.082000,0.026209
EXP3_HYBRID,10000,28.0100,10434,0.011429,0.179000,0.023655,0.016470,0.073000,0.028048
EXP3_HYBRID,10000,28.0001,22173,0.011391,0.130000,0.024238,0.015072,0.046000,0.026856
EXP3_HYBRID,10000,28.0001,23478,0.011451,0.116000,0.024909,0.014167,0.053000,0.027006
EXP3_HYBRID,10000,28.0001,24782,0.012008,0.116000,0.024986,0.014778,0.049000,0.027488
EXP3_HYBRID,10000,28.0100,11739,0.011964,0.162000,0.025472,0.017708,0.069000,0.030747
EXP3_HYBRID,10000,28.0100,13043,0.012387,0.175000,0.026567,0.017666,0.072000,0.030714
EXP3_HYBRID,10000,None,0,0.010499,0.239000,0.018281,0.014766,0.105000,0.025263
EXP3_HYBRID,10000,28.0100,15652,0.012925,0.150000,0.026706,0.015690,0.071000,0.029129
EXP3_HYBRID,10000,28.1000,1304,0.010159,0.230000,0.018473,0.032824,0.095000,0.026071
EXP3_HYBRID,10000,28.0001,27391,0.011679,0.114000,0.025119,0.017026,0.050000,0.029195
EXP3_HYBRID,10000,28.0100,16956,0.013462,0.150000,0.027947,0.019463,0.066000,0.031772
EXP3_HYBRID,10000,28.0100,14347,0.012872,0.171000,0.027172,0.014574,0.076000,0.030237
EXP3_HYBRID,10000,28.0001,26086,0.011350,0.118000,0.024411,0.016358,0.048000,0.028911
EXP3_HYBRID,10000,28.1000,2608,0.008883,0.195000,0.017635,0.012835,0.083000,0.022219
EXP3_HYBRID,10000,28.0100,18260,0.013506,0.153000,0.027680,0.019083,0.060000,0.032321
EXP3_HYBRID,10000,28.1000,3913,0.008505,0.192000,0.016415,0.011349,0.082000,0.020005
EXP3_HYBRID,10000,28.0100,19565,0.013677,0.150000,0.028218,0.017283,0.072000,0.032857
EXP3_HYBRID,10000,28.1000,5217,0.008839,0.187000,0.016815,0.011381,0.080000,0.020021
EXP3_HYBRID,10000,28.0001,30000,0.011992,0.112000,0.025350,0.016839,0.047000,0.028613
EXP3_HYBRID,10000,28.0100,20869,0.013193,0.163000,0.028075,0.022191,0.065000,0.032722
EXP3_HYBRID,10000,28.0001,28695,0.013175,0.117000,0.026306,0.015132,0.047000,0.028253
EXP3_HYBRID,10000,28.1000,6521,0.008267,0.188000,0.017345,0.014188,0.072000,0.021357
EXP3_HYBRID,10000,28.0100,22173,0.014412,0.146000,0.030342,0.020448,0.067000,0.035876
EXP3_HYBRID,10000,28.1000,7826,0.008505,0.195000,0.017503,0.010946,0.085000,0.021622
EXP3_HYBRID,10000,28.1000,9130,0.007960,0.189000,0.017689,0.010828,0.076000,0.020893
EXP3_HYBRID,10000,28.0100,23478,0.015837,0.136000,0.032470,0.019415,0.066000,0.035206
EXP3_HYBRID,10000,28.0100,24782,0.015773,0.152000,0.032855,0.020574,0.062000,0.037299
EXP3_HYBRID,10000,28.1000,13043,0.009198,0.161000,0.020589,0.010890,0.061000,0.022779
EXP3_HYBRID,10000,None,0,0.010499,0.239000,0.018281,0.014766,0.105000,0.025263
EXP3_HYBRID,10000,28.0100,26086,0.015882,0.136000,0.033122,0.019337,0.065000,0.036279
EXP3_HYBRID,10000,30.0000,1304,0.009405,0.232000,0.018126,0.013449,0.103000,0.022646
EXP3_HYBRID,10000,28.1000,10434,0.008429,0.196000,0.018546,0.011561,0.068000,0.022802
EXP3_HYBRID,10000,28.1000,16956,0.008947,0.161000,0.019527,0.012083,0.060000,0.022682
EXP3_HYBRID,10000,28.1000,14347,0.008404,0.151000,0.018919,0.010922,0.064000,0.022157
EXP3_HYBRID,10000,28.1000,11739,0.008570,0.179000,0.018072,0.010606,0.076000,0.021114
EXP3_HYBRID,10000,28.0100,28695,0.016102,0.141000,0.034447,0.026497,0.064000,0.040157
EXP3_HYBRID,10000,30.0000,2608,0.011026,0.218000,0.018530,0.031614,0.098000,0.022063
EXP3_HYBRID,10000,28.1000,18260,0.009220,0.158000,0.018938,0.011079,0.059000,0.022599
EXP3_HYBRID,10000,28.1000,15652,0.008658,0.144000,0.019430,0.010625,0.057000,0.021813
EXP3_HYBRID,10000,28.0100,27391,0.016419,0.132000,0.034341,0.026692,0.062000,0.040085
EXP3_HYBRID,10000,28.0100,30000,0.018118,0.129000,0.036942,0.022475,0.059000,0.039678
EXP3_HYBRID,10000,30.0000,3913,0.008841,0.252000,0.015071,0.013639,0.103000,0.021480
EXP3_HYBRID,10000,30.0000,5217,0.007944,0.233000,0.015569,0.014008,0.096000,0.021654
EXP3_HYBRID,10000,30.0000,6521,0.008077,0.238000,0.015787,0.011595,0.085000,0.020529
EXP3_HYBRID,10000,28.1000,19565,0.008834,0.133000,0.019084,0.012685,0.061000,0.022949
EXP3_HYBRID,10000,28.1000,20869,0.009670,0.127000,0.021593,0.018875,0.048000,0.024876
EXP3_HYBRID,10000,30.0000,10434,0.010637,0.236000,0.019174,0.013807,0.092000,0.022284
EXP3_HYBRID,10000,30.0000,7826,0.009180,0.233000,0.015929,0.014482,0.085000,0.021656
EXP3_HYBRID,10000,28.1000,24782,0.009874,0.112000,0.021828,0.022147,0.042000,0.026221
