[ikvasilev@sms results]$ cat all_experiments_h20.csv
Experiment,Recipient_Size,Donor_R,Donor_Size,rmse_01,np_01,mape_01,rmse_03,np_03,mape_03
EXP3_HYBRID,10000,27.9900,24782,0.049896,0.155000,0.071990,0.081758,0.059000,0.100774
EXP3_HYBRID,10000,28.1000,6521,0.069191,0.260000,0.077321,0.097544,0.118000,0.128188
EXP3_HYBRID,10000,28.0100,13043,0.168445,0.213000,0.227204,0.189064,0.073000,0.287405
EXP3_HYBRID,10000,27.9900,26086,0.041292,0.152000,0.071548,0.069093,0.070000,0.096632
EXP3_HYBRID,10000,28.0100,14347,0.164400,0.202000,0.225347,0.191639,0.066000,0.290416
EXP3_HYBRID,10000,28.1000,7826,0.081341,0.246000,0.087519,0.114427,0.102000,0.144215
EXP3_HYBRID,10000,28.0100,15652,0.175104,0.157000,0.238912,0.192366,0.054000,0.305897
EXP3_HYBRID,10000,27.9900,27391,0.051979,0.133000,0.081201,0.073367,0.053000,0.100577
EXP3_HYBRID,10000,28.1000,9130,0.084956,0.236000,0.083169,0.105684,0.089000,0.121276
EXP3_HYBRID,10000,28.0100,16956,0.166905,0.195000,0.224376,0.190659,0.069000,0.290136
EXP3_HYBRID,10000,None,0,0.058091,0.376000,0.090731,0.074004,0.165000,0.108165
EXP3_HYBRID,10000,28.0100,18260,0.177774,0.174000,0.268141,0.195691,0.056000,0.306764
EXP3_HYBRID,10000,27.9900,28695,0.040395,0.132000,0.071136,0.059291,0.057000,0.090062
EXP3_HYBRID,10000,28.1000,10434,0.084170,0.222000,0.102898,0.127048,0.080000,0.161543
EXP3_HYBRID,10000,30.0000,1304,0.065815,0.454000,0.087912,0.076675,0.186000,0.103137
EXP3_HYBRID,10000,28.0100,19565,0.186931,0.160000,0.280117,0.198460,0.046000,0.316900
EXP3_HYBRID,10000,27.9900,30000,0.041501,0.129000,0.069687,0.062232,0.050000,0.087785
EXP3_HYBRID,10000,28.1000,11739,0.092935,0.223000,0.095154,0.126939,0.079000,0.165268
EXP3_HYBRID,10000,30.0000,2608,0.091081,0.529000,0.124075,0.093311,0.211000,0.134776
EXP3_HYBRID,10000,28.0100,20869,0.174022,0.147000,0.248340,0.200797,0.052000,0.322365
EXP3_HYBRID,10000,28.1000,13043,0.113862,0.180000,0.115096,0.129265,0.080000,0.151190
EXP3_HYBRID,10000,28.0100,22173,0.185125,0.121000,0.272131,0.203470,0.045000,0.320090
EXP3_HYBRID,10000,30.0000,3913,0.084093,0.542000,0.107335,0.089982,0.223000,0.132923
EXP3_HYBRID,10000,28.1000,14347,0.115635,0.166000,0.119786,0.129998,0.069000,0.144019
EXP3_HYBRID,10000,28.0100,23478,0.190728,0.123000,0.292089,0.204670,0.045000,0.324734
EXP3_HYBRID,10000,30.0000,5217,0.094524,0.473000,0.137443,0.095422,0.200000,0.153742
EXP3_HYBRID,10000,28.0100,24782,0.193088,0.135000,0.301195,0.205553,0.036000,0.318747
EXP3_HYBRID,10000,28.1000,15652,0.091993,0.194000,0.098753,0.117063,0.091000,0.131708
EXP3_HYBRID,10000,30.0000,6521,0.106747,0.502000,0.176163,0.114842,0.203000,0.188709
EXP3_HYBRID,10000,30.0000,7826,0.125986,0.467000,0.180213,0.141438,0.178000,0.208194
EXP3_HYBRID,10000,28.1000,16956,0.125223,0.161000,0.141265,0.137513,0.077000,0.170219
EXP3_HYBRID,10000,28.0100,26086,0.195493,0.125000,0.297169,0.203590,0.039000,0.310941
EXP3_HYBRID,10000,30.0000,9130,0.101026,0.424000,0.142378,0.124402,0.120000,0.199173
EXP3_HYBRID,10000,28.0100,27391,0.188697,0.136000,0.279510,0.205810,0.033000,0.325541
EXP3_HYBRID,10000,28.1000,18260,0.110373,0.156000,0.142405,0.143111,0.054000,0.201640
EXP3_HYBRID,10000,30.0000,10434,0.135979,0.452000,0.206462,0.138254,0.175000,0.215245
EXP3_HYBRID,10000,28.1000,19565,0.105124,0.149000,0.118013,0.132744,0.043000,0.182991
EXP3_HYBRID,10000,30.0000,11739,0.135612,0.374000,0.222608,0.153389,0.134000,0.243051
